name,url
Mind,symptoms.php?id=1000000
Vertigo,symptoms.php?id=2000000
Headache,symptoms.php?id=3000000
Eye and vision,symptoms.php?id=4000000
Ear and hearing,symptoms.php?id=5000000
Nose and smell,symptoms.php?id=6000000
Mouth and taste,symptoms.php?id=8000000
Teeth,symptoms.php?id=9000000
Throat and external throat,symptoms.php?id=10000000
"Larynx and trachea,voice",symptoms.php?id=11000000
Respiration,symptoms.php?id=12000000
Cough,symptoms.php?id=13000000
Expectoration,symptoms.php?id=14000000
Chest,symptoms.php?id=15000000
Stomach,symptoms.php?id=16000000
Abdomen,symptoms.php?id=17000000
Rectum and stool,symptoms.php?id=18000000
Urinary organs,symptoms.php?id=19000000
Genitalia - male,symptoms.php?id=20000000
Genitalia - female,symptoms.php?id=21000000
Back,symptoms.php?id=22000000
Extremities,symptoms.php?id=23000000
Skin,symptoms.php?id=29000000
Generalities,symptoms.php?id=30000000
